,Date,Media Sources,Compound,Positive,Negative,Neutral,Tweet,Tweets Ago
88,Sat Jun 09 11:25:12 +0000 2018,@BBC,0.0,0.0,1.0,0.0,Gone are the days of the black book of reliable contacts and the @BBC are now tracking the balance of contributors… https://t.co/936pO1z14M,89
89,Sat Jun 09 11:25:04 +0000 2018,@BBC,0.5574,0.135,0.865,0.0,RT @BBC: 🎶🦈🚀🚗 From jazz-loving sharks to @elonmusk shooting his car into space: these are the 7 funniest news stories of the year so far...…,90
90,Sat Jun 09 11:24:42 +0000 2018,@BBC,0.0,0.0,1.0,0.0,. @BBC Robert from the @DailyMailUK you say... Mute! #TroopingtheColour #bbc #nothanks,91
91,Sat Jun 09 11:24:36 +0000 2018,@BBC,0.5994,0.565,0.435,0.0,@BBC @JenvkCLE How beautiful 💖,92
92,Sat Jun 09 11:24:36 +0000 2018,@BBC,0.3595,0.163,0.727,0.109,@BBCNews @BBC Love it! But a lot of the unnecessary chat by commentators over the music is irritating to say the le… https://t.co/TjKl4D6sAw,93
93,Sat Jun 09 11:24:05 +0000 2018,@BBC,0.0,0.0,1.0,0.0,@soapachu @BBC  https://t.co/nDWdlshwsW,94
94,Sat Jun 09 11:23:57 +0000 2018,@BBC,0.0,0.0,1.0,0.0,RT @GhioLena: The story of a lemon tree reveals how evolution happens: https://t.co/Nb2SrMvBSc @BBCScienceNews  @BBC @BBCWorld @BBCEarth @b…,95
95,Sat Jun 09 11:23:38 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @RamjiVe02121148: #MaoistPlotToKillPM 
गीता आ7 मन्त्र12 में कहा है कि तीनों गुणों से जो भी कार्य किया जा रहा है वह सब मुझसे ही होने वाला…",96
96,Sat Jun 09 11:23:24 +0000 2018,@BBC,0.6124,0.571,0.429,0.0,@BBCNews @BBC Gorgeous 😍🤗,97
97,Sat Jun 09 11:23:16 +0000 2018,@BBC,0.0,0.0,1.0,0.0,@FESMontemaggi @Sillyshib @SteveLawrence_ @BBC @BBCr4today He is a major figure in 'The Establishment'. And knows it.,98
98,Sat Jun 09 11:23:05 +0000 2018,@BBC,-0.2732,0.086,0.784,0.129,RT @SteveLawrence_: John Humphrys patronisingly admits that the @BBC has failed in its duty to inform the public on Brexit. Maybe @BBCr4tod…,99
99,Sat Jun 09 11:52:47 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,RT @Jagannath9648: @ccAUOnS010NpHsx @Praveendas786 @mlkhattar @BBCBreaking @CBSNews @BBCNews @ndtv @ABC @ABCPolitics @rashtrapatibhvn @PMOI…,1
100,Sat Jun 09 11:52:42 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,RT @ccAUOnS010NpHsx: @Praveendas786 @mlkhattar @BBCBreaking @CBSNews @BBCNews @ndtv @ABC @ABCPolitics @rashtrapatibhvn @PMOIndia @ABSCBNNew…,2
101,Sat Jun 09 11:52:38 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,@TheMikeCrook @CBSNews So did the Nazis at concentration camps.,3
102,Sat Jun 09 11:52:34 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,RT @KabirMissile: @Praveendas786 @mlkhattar @BBCBreaking @CBSNews @BBCNews @ndtv @ABC @ABCPolitics @rashtrapatibhvn @PMOIndia @ABSCBNNewsSp…,4
103,Sat Jun 09 11:52:32 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,@eenglishlearn @CBSNews Stay on topic a**hole.,5
104,Sat Jun 09 11:52:31 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,@CBSNews @NBCNews @latimes @NBCNews @nytimes @AOL @FoxNews  @FOXTV @AP @MSN @washingtonpost @USATODAY  @WSJ @nypost… https://t.co/Ay6o5R4Ulx,6
